gpt3_v2,gpt3_v3,gpt3_v3.1,gpt3_v4,text,categoryName
 It's a beautiful facility containing everything you need for a luxurious and relaxing stay. The service is outstanding as well. I liken it to a really nice Hampton with far more bells and whistles. , The view at this place is awesome! Staff was very friendly and helpful. We will definitely go to this place when passing through again!!! ," This is a beautiful, classic looking hotel. The rooms are all classic mini-suites with fully knee-hole showers. In the hall there are staircases to each floor, including a small room with shower, deposit slot and bidet on the same floor! Big plus is the classic deco architecture and city views from many rooms. ", So beautiful from the stroll outside// to our room the view was so breath taking.. the food in the restaurant was good.. old style cooking for the southern country.. and lovely ambiance!! Thank you so much☺️ ,Definitely not up to dorchester standards. The hotel is nice. I got really disappointed because we booked a suite for 10 days then left and booked the same suite when I came back for another few days. The first suite was extremely tiny it would even be considered small for a room. On the other hand when I came back and booked the same variety they gave me what was supposed to be a suite. Which is triple the size of the first one. The first one was also very far from the lobby a good 10 minute walk on the other hand the second suite we got was very close to the lobby. Extremely disappointing for a dorchester hotel,Hotel
" This has got to be the best hidden secret in LA. The hostel's aesthetic, location, price, and vibe are all amazing. Turns out this place is also right next to PWT! ", The hostel was very clean and taken care of.  The folks and other travelers were very friendly and the option of cooking in the kitchen was great.  The location is within walking distance of the Alamo and general touristy things.  Bed was comfortable.  Will be back. ," I was greeted as I pulled off of the interstate and showed across a parking lot with a lot of fun colors and floating party lights! The lobby has lots of outlets and refrigerators, which is a plus. There are lockers and free kitchen use to, which is again another plus. The dorms have AC and if not the two twin beds were very comfy, the queen sized bed on one of the 5 beddings per room was full but had to turn all five pillows down and comfy. The bathrooms were clean and had hot water! I didn’t want to want to leave! I cant wait to go back! Totally recommend and my next semester stays here!🔥💧❤️🙏🙏🙏💅🏿💅🏿🔥💅🏿🙏🙏🙏💗💗💐💐"," Great place, very friendly staff. Definitely worth a stay. ",This is one of the cleanest hostels I've stayed at (and I traveled through Europe twice). The neighborhood is absolutely perfect and it is only a 5 minute walk from lots of interesting restaurants and fun! I will definitely be staying here in the future.,Hostel
" First thing first, felt very safe in that hotel especially because I went there alone....I would suggest this hotel to anyone. Front desk clerks were nice & very helpful,all security there on sight, housekeeping and other staff was great great great. Everything on point💯💯💯💯 ", We book a room after the business show. Manager on duty was polite and helpful.  The room was big and clean.  I would stay again.  The breakfast was nice and courtsey breakfast area was very clean. , Loved our weekend with my family. Staff was very friendly and helpful. Room was clean. , Hotel chain 4 stardiamond 💫 best if vip minimum 10 hours purchase stream end room 😠 not streaming tv 📺 well price compare with hotel chain hotel firm 😀 live 👍🏻 awesome break 👍🏻 ,"This is our second time staying here! I am Vegan. I love having options to eat here. The pool bar, Splash is great! Beers are not expensive. Staff has been fantastic. Bed is comfy. Very close to restaraunts, grocery. We will be back",Hotel
" It was a very nice hotel, clean and friendly.  That's all. Nothing spectacular. No, that's not right. The hotel was spectacular. Me, not so much. "," Nice place, walls need to be painted, close to the casino "," Stayed there for the first time on a recent trip. My husband and I are platinum and had a great time, the customer service at the hotel is great and everyone there is always willing to help you out. We stayed on a lower level and the rooms were clean, decorated nicely and very modern. Maybe I'm just easy but I had no issues with the room, I slept well every night. It was perfect for what we needed on our trip. "," I hadn't visited this casino for about 8 years! I was in for the night and decided to try their buffet. I could confidently say that it's the best buffet some I ever experienced from a casino venue. Everything from Russian food mackerel to the traditional American lays they covered it. Lots of salads and fruits, and it wasn't a wasted buffet that you always have to question who the hell ate the scalloped potatoes. EVERYTHING looks like it just came out of the oven! I hope they don't close down, employee or not I will be back in the summer season to enjoy a buffet until they close! ",Beautiful grounds and great food. The Palm room is a great spot for an intimate family gathering for up to 46 people.,Hotel
" Absolutely loved the experience, employee was very friendly and nice, snacks unlimited which is a plus, tickets are a little bit expensive but it's expected, the theater is very clean, definitely will be going back "," We liked the theatre for a date night. It was quiet, seats were comfortable and very clean. Ended up watching a movie that even my 5yr old liked. Only con was there wasn't much in the way of concessions if you wanted popcorn or a drink. We stopped by the gift shop before headed out because the concession shop didn't have popcorn or candies. "," Maumelle may get some of the best theater seats in town, but they’re also the most expensive. And of course, it feels like everything at Target Gin in Fayetteville is much more reasonable. Movie theaters may be the cheapest option for old fashioned fun, but if we’re being honest, if we’re spending money on a date night, most of us are probably refreshing our Facebook feeds and entertaining ourselves at home with a movie at our own comfortable couch. That’s why we love to see Maumelle keep it classy, maintaining that classic retro charm from the 30s and 40s even into the modern era. It’s slightly out of the way for many in Fayetteville, which may kill the excitement for this pristine Arkansas gem, but those who see it, especially on 5050, will be the most impressed audience in the whole of Northwest Arkansas…unless, of course, you’re at Cinemark Fayetteville"," Movie theater was great, is aged a little and I guess following remodel has stripped even the better quality seats but the sound and sound system overall was top rate. The place was very clean and pretty spacious for a theater tucked away in a shopping center. The  concessions were stellar and variety of items large. Walmart and Radio tile are all around you and plenty of parking. I will definitely be back soon, just not ear buddies on the seats they were rough and had holes in them :-( ","Seeing John Wick 4. Just to let everyone know, they check your ticket about 3 times",Movie theater
" First off.. this is one of the cleanest hotels I have been to in a LONG time. The rooms are big, the bed was super comfortable, the bath tub had no signs of any sort of wear, even the hallways and entrance look great.

The staff was very friendly and helpful.

The breakfast had a lot of options, wasn’t just cereal, waffles, and toast like most other hotels.

The only thing that would of made this experience come up one star was if they were next to have the pool open. That’s it.

I recommend this highly if you are traveling in the area and are looking for a nice place to stay!! "," Loved our stay at the Sundance Hotel! Our rooms were clean, food at restaurants (Breakfast and Dinner) were great, and there was plenty of hot water, toiletries, etc. We enjoy staying there. "," Spa was great. Place was constantly busy, however with that I thought that proved how hot the LPG room was. There was a sour odor of bodies or deoderant or something to that effect mixed across the casino which was bad & unpleasant. "," We attended a wedding here, and the experience was excellent! The grounds are gorgeous, but the service and (the view) facilities really make a stay wonderful. Every staff member we encountered treated us kindly, noticeably went above and beyond in their duties, and truthfully made every effort to ensure our experience was stress free and wonderful. I have plenty of family scattered across the world and I can’t wait to bring my daughter back to stroll the grounds with them.

Cute shops are on West Ave, plus the beautiful beaches are literally outside of your hotel door! We spent an afternoon at Tops’l Beach Club, which was fantastic (swim area, floaties and materials to use, plenty of seating, music options, etc). It’s a short 5 minute walk or 2 minute drive.

I loved staying at this hotel and will be sure to bring my family back again in the near future. I wish I could attach photos to this written review",Very nice facilities.  Staff in friendly and helpful throughout hotel and casino. Casino is full of plenty of games to play. Food court is nice with lots of different choices. Game areas are clean and sanitized after each use. Hotel rooms are clean and sanitized very well. Rooms are nice and comfortable and I had a nice view of the mountains.,Hotel
 Thanks to the Denver Spice Grills we were able to enjoy this museum. The collection is simply amazing. It feels like you’ve walked back in time. Breathtaking. , Our electricity was off due to a passing storm which was really nice to come and see. We got the audio tour which was really interesting and educational which was great after a day of skiing. My children loved the duck train. I would recommend getting the tour and getting the train ride. ," The stroller was far more enjoyable than pushing baby in an elevator! It was a fun experience for all three generations! And baby was fascinated! I walked in ready for stroller observation, but baby was more interested in crawling through pink dinosaurs.

As a working mom, highlighting the unique pushchair experience was definitely a plus! "," Excellent place for little kids. No Netflix, no video games.  Actual information & exploring. Friendly staff.  Lots of cool activities for the young, & teens too for pretty cheap. ",Must see. Definitely check out the Escape Room. That's an experience and it comes with admission to the museum.,Museum
" We had a questionable double room that was not at all presentable; toilet dirty, tub grout missing tile, upper part of room covered with dust and obvious signs of inhabitation by a rodent-riddled TV. It was only redeeming quality was an excellent location. We  called ahead to ask for a non-smoking room and the risk of encountering a rodent(s) was agreed to. Management has agreed to look into this room and get it back to its status as presented online. Other rooms and the public areas were presentable and satisfactory. "," Came back to Red Lion as a special trip. Situated perfectly at interchange,  room was perfect, staff is fantastic and the pool is a great place to be in the heat. Landscape is beautiful,  rooms feel more updated and looks more like a resort type property in front of pool and restaurant.  Went back here 5 years later,  still the same great experience. "," Clean rooms and suites although 5.00$ charge for wifi per day to beware of!
There is no view from the room if you are in the east end block  instead u face the maintenance area of the resort
The resort is dated and not enough staff for something this size and with only 425 rooms.  i sent a toddler down and came back to a room full of used paper towels.  The staff on duty while i stayed was pretty nice although my room would not stay locked. "," Clean, nice, good rooms and awesome room amenities, friendly staff ","Minutes after we walked into our room, I started having severe dust allergies, and the place was filthy. I was shocked because we expect so much more from a Marriott. I called and asked for the room to be cleaned while we were gone for a few hours, telling them that the floor was really dirty and the phone had so much dust on it it appeared it hadn't been cleaned in a very long time (just to give them some examples of the problems.) When we came back, it was clear someone had wiped down the phone briefly and swept the tile floor in the doorway, but the room was still filthy. I called again and let them know, and to their credit, they upgraded us to a much nicer much cleaner room. And I wasn't allergic to this room which was visibly less dusty and dirty.
We were thankful for the upgrade, but it should have never been necessary. I shouldn't walk into a room in a Marriott property to find it so dirty.

I have attached pictures of the floor in the bathroom, the floor in the entryway, the phone, and the shower curtain, which had grime and very questionable hairs crusted onto it...",Hotel
" Meat and potatoes.  Drinks and fire.  Salad bar that’s not trash.
Steak and potato.  Ribeye and baked potato.  Deviled eggs.  Tea.  And some cake at the end. "," A little pricey, but delicious...! "," Nice atmosphere, friendly staff and good food. Will definitely try the Coconut Sticky rice "," i was not too impressed after having eaten here a few years back. The baked crab dip was flavorful but the portions were very small for the price. The filet mignon did not have much flavor. The waitress seemed to be more interested in the couple with a screaming toddler. Other than that , the atomosphere is nice. ",I love their seafood fondue,Steak house
" Love the close canopy walkways & that many animals have water areas to swim in. They have great food carts throughout the zoo too. The staff was knowledgeable and friendly. We came on a Saturday afternoon and it was pretty busy, but we found enough open seating. Parking is $20, so just be aware. Also, if you’re able, try to get there right when it opens. You’ll encounter less crowds and can see more animals waking up for the day. We’ll be back! "," A very nice wooden and iron detail in the layout looks amazing.

Ducks and swans very nice. Some Acrylic animals are trick since you could them as real on taking a look at them closer.  I mean...a big smile on a big cat's heading face? If it were me, i would do only plates with acrylic. Damn Ryan and Crystal. "," Go to get dirty, get screamed at by simians, sway in the breeze, get covered in clean human excrement...all the fun you can wrap in a zoo of ~1,000 animals. Eno had a great Tuesday transfer.
QUICK PICK-UPS: Mom-tag-mom, ZERO, Zixx, Klutz
Tip: No more than two kids pushed in a stroller in a single group; two per adult; no double packs; no littering
- group #21038 doesn’t send their kids to a ball pit; you must walk off their charges to interact since a tipping point is approaching on those activities- check out the signs around the zoo
- 3yo twins love when their names are yelled from the dark front row porch above
- I got yelled at by a primate. Don’t mention this. Just let me say that I spend a lot of time with animals and talk to them all", We had so much fun! The rides are great for the younger ones to older ones. So much for you to do. Hence 4 Stars. The employees were amazing and funny with the kids. I didn't take many pics but oh my did my kids and put a big smile on my face ,"My sons both teen and toddler loved this place!! The train operates later at 1:30 so we weren't able to ride it because it would take too long. We loved all the animals. It is awesome that they have ""hydration stations"" for free water to keep everyone nice and hydrated. The carousel was beautiful and so much fun! I cannot wait for the flamingos to come into the zoo it will be a great addition.",Zoo
 Our Church Retreat involved 8 adults going to Wichita and doing a room escape! It was a great day and experience!!! We did Room 104 and finished with 7 minutes to spare! We had a great time and are ready to go again sometime soon! Satu is a great host and very patient with sending adults on a retreat experience! ," We booked our tickets in advance as they were extremely busy. We managed to make it into the right room, though the end mashup was challenging. The owners were informed and helped us continue on. "," Locally owned and operated. Down to earth, genuine people run a fun place. Lots of quests to try and a variety of themed rooms. Make sure to put $$$ in the envelope before you get bounced in for being claustrophobic. ", Love this place very fun experience with friends to try and figure out individual puzzles & find the items with other people.  Not as easy as it sounds and you don't have much time! Will be returning when I can! ,"I went to this place for the first time ever for my birthday and I made the comment that an insatiable, escape-room monster has been made of me. A little over a month later I’ve already gone through most of the rooms available, with plans to then move to the other location and start tackling the rooms available there as well. The amount of work that must have gone in to these rooms baffles me. There are some puzzles that, when solved, result in things to happen in the room that I’m not sure whether is through the work of intricate wiring or the diligence of the room attendant person. Speaking of room attendant person, I’ve had my party overseen by Alex most of the times I’ve been there and he is a treasure. Super helpful and personable, and so quick to observe when we’ve done something slightly wrong to nudge us a tad and tell us to hey maybe try that thing again. Of course his nudges are always warranted and never ruin any puzzle or sense of achievement we feel when we hear the lock click. He’s also very quick to deliver clues when we do ask for them, and the clues are always exactly what we need. I could go on forever about how much I enjoy this place, and recommend it to everyone, so I’ll just end this review here.",Escape room center
" Beautiful,western themed motel. Comfortable nice sized rooms. Bathrooms are dated but clean. Water in the lobby to drink. The pikes pizza next door is great. ", Cute Cabins. Cozy & clean. Not fancy but sufficient. They do not have an elevator. ," Very clean, welcoming and the rooms have been updated. Check in was easy and fast. It's within walking distance to the central coast. "," The most affordable and best place in our 8 day trip! Clean, great service, tidy and just what we needed while road tripping. Plus it was a nice secure place to leave our vehicle while our trip was. The parking garage option is a big plus other places offer it but the employee checks your car while you are out or asleep. Other places charge you for this service. Go ahead, try the island buffet! It was amazing 😉 ","Arrived to the greatest feeling of welcome I've experienced without being at home: I was walked to my door personally in the freezing night air; I entered a room with stylish modern and clean decor; and every linen and little accent speaks love in creative touches, from the sheet and pillow cases to the cover for the air conditioner.  The shower was enjoyable and the kitchenette handy. We will definitely be returning to this affordable comfortable place.",Motel
 We stopped here for a night in our travels.  It is a typical Hilton Resort hotel. Nothing out of the ordinary. Actually it was a little run down compared to most others that I have been too. The pools close at 6:00 pm. Needless to say my children were disappointed in that. They enjoyed the water park but it closed at 5:00 pm. There was a entertainment schedule at the pool every day but it quit early. The food at the grill was reasonably priced which was wonderful.  My only complaint there was there was no chicken tenders for my picky eater. The servers were exceptional there!!! The staff were all friendly. The rooms were nice and clean. The beds were so comfortable. I would stay here again," Came here with my family today to go zip lining, only here to sightseeing. It's a very nice relaxing place to just let the family gather and relax. There is entertainment on which is always fun. There is an apple caft named apple wow! so yummy! The employees were kind and gracious. We will definitely be coming back. I highly recommend this beautiful place. ", Outer edge of the parking lot elevates and there are is pot holes. You better have a truck nice off road Vehicle even to park and see the caves at dark. , Totally went the extra mile! ,"Good views, lots of room, busy and popular place. And they serve adult beverages at the pool.",Resort hotel
" Really great experience! The staff was friendly and very helpful.  Our little ones got their own personal size pizzas and we also got them a fun toy at the end! My husband said, “This was the most enjoyable experience we’ve had at a pizzeria.” "," We're always pleased with the food/service/location.  GREAT Pizza, sandwhiches, nice atmosphere and entertainment besides the Chili Cheese Dog seasonings on your dog that are never the exact same taste everytime. ", Food was very bland without seasoning. The chicken strips tasted like used the same mayo and whole milk.  The chef love the but I suggest you buy fresh cloved from whole foods or organic grocer that have the authentic flavors. ," Great pizza and wings. My grandma used to live above the shop so we have been customers for decades. Their beef and cheese is house made, sweet & sticky and it just melts in your mouth. And if you're not in the mood for pizza, don't knock it until you try it. You'll be back! I usually just get a slice when I stop in for the football games so this pic doesn't do the slice size justice. Douse it in garlic butter and order some of their wings. Plows is the place to be on Sundays. ",Always fresh pizza,Pizza restaurant
" We were not able to attend the Trap Museum, but we did take the J. Cole tunnel and it was a blast. Some fascinating artifact and very engaging. The restrooms were pretty disgusting, but we understood why. ", A fun little book store. , Great place for the kids! We loved seeing the history about our Bay Area. ," Great museum! They have a planetarium, hiking trails, they'll pick you up when you get lost, a cafe, and the history of dinosaurs is so well put together. I was genuinely impressed. If you like dinosaurs, you'll love this place. It'd be really cool if they had some airplanes hanging from the ceiling like some other museums have. The collection could use an update as well- I'd love to see some new baby dinosaurs (no parasaurs tho 🤦‽🤦‍♀️) and some government issued models of the creatures too. The gift shop is ridiculously nice and I would've loved to spend a couple hours in there but I also had little kids with me lol. This should go here as a museum subject and not a comment on the actual museum. Thank you for the hospitality, it is appreciated. ",This museum has an amazing collection. It is truly incredible to see all of the artifacts from the steamboat. The exhibits had great videos & signs telling all about the history of both the steamboat & its excavation. My husband & I spent around 2.5 hours there & we had a great time.,Museum
 Love their food & their games! , Reasonable prices and fun for kids and adults! Fast cashier and clean! , Great staff and clean shared locker rooms. Air-conditioned outlets also. , A lot of fun for all ages www.forcefx.com ,"Just had my daughter's 9th birthday at Electric Playhouse and it was a hit! The kids loved the party room and all the games, while the adults loved being able to play while enjoying some beverages. I would highly recommend it to anyone that has a birthday coming up for their young ones.",Amusement center
" The laser show at the Ferris wheel was spectacular. Too bad they closed
Other rides at 8pm, we had a late
Arrival and late departure. We will go
Again in the future. "," It's my 4th time at the park and we had an amazing time. We’ll be back.
Whats kewl on the place is the air conditioned areas. "," Had a great time with my son. The price was up there but the kids had a blast, wish the train ride had been open. ", It was so much fun!!! I was a bit apprehensive with the Sky Coaster.. I'm a wimp on things like that with my weight and I was nervous.. but it was super easy (literally) it was a blast! Staff was incredible and helpful! If I can give a 6 star tip it would be totally warranted in this case- I will definitely be back to see everybody again! Thank You!!!! ,Tons of fun,Amusement park
 I love the mountainous omelet. The huevos rancheros are incredible. The nachos loaded are great. Love this place. , Such awesome food! Such amazing service. Such laid back atmosphere. En El Nido is one of my top 3 Mexican restaurants in town. ," Shredded beef taco was great! The burrito was delicious with the meat really tender. Fries were great as well as the option for a warm side along with the plate. Big take for me was the service, Ricardo was great, not just my server but engaging with conversations that fit our time good. Sat there for a solid 1.5 hours and not just our server. It's nice to feel like a friend and get the value out of it. ", This place is amazing past the cheese dip.  I got the combination plate.  I will be back very soon. ,Real good I customer service goo,Mexican restaurant
 The hotel sounds of the highway were so loud we had to dress in our ear plugs to get some rest. The soaps were expired and the phone in the room didn't work. But the shower was nice and hot. ," The hotel was standing beautifully, but very small. Other rooms are already fully used by other guests. You won't be cooking in your room as it lacks of things like fridge and microwave. The beds are very lumpy. Room is also hot due to  ventilation opening

Over all, if you need very rough right price, bring your own shampoo, conditioner and chargers.
Safe box only left 1 hour after entering. "," My girl friend and  daughter and I went to this place to stay this weekend just to get away for the day. From appearance and front desk help to restaurant service food and bars all around staff was on top of everything and we had a wonderful weekend,my daughter and I did go horseback riding with sweet  big P and he the nicest rental person in the establem. The resort and restaurant are so filled with different things to do from beds to outdoor and indoor activity each one of them to choose from from whichever type of activity you prefer knowing that all they services and activities provided all the while upon coming back to the resort you’re completely revitalized thanks all of them.  My girl friend and I are in the middle of renovating our house right now and during my repairs she was telling me how nice that was and this is an amazing place to stay and so much more.  I lost my heart after seeing how lovely everything is and I want to stay here for a"," Super clean hotel with excellent friendly staff. The restaurant had great food, but since it was Christmas Eve the service was really really slow at dinner. This is the back patio facing the Rock Rd. The front had closed off their parking lot for holiday.  We were disappointed about that. ","understanding that the hotel industry has been eviscerated by Covid, this property is woefully under maintained, unimpressive and simply put dirty.  as a hilton diamond member i have had the benefit of staying with hilton many, many times and this property is shameful.  the cut and paste response to my review by Hilton below speaks volumes.  this property is obviously on its last leg and management seems to have conceded that fact.  a lowest common denominator property to be certain.

update as of october 2020.  this location still struggles.  stay away",Hotel
